gene	n.dn	n.inh
ENSG00000136931	2	3
ENSG00000106080	0	1
ENSG00000117472	0	0
ENSG00000103490	0	1
ENSG00000162598	0	0
ENSG00000255974	2	2
ENSG00000142875	1	12
ENSG00000163428	1	0
ENSG00000141564	1	4
ENSG00000196932	1	0
ENSG00000203782	0	1
ENSG00000182871	0	0
ENSG00000164338	0	0
ENSG00000066468	2	1
ENSG00000159496	0	2
ENSG00000118939	5	1
ENSG00000198752	3	0
ENSG00000134184	0	9
ENSG00000099992	2	1
ENSG00000198911	0	0
ENSG00000126368	0	1
ENSG00000111254	1	3
ENSG00000123415	4	1
ENSG00000236398	0	0
ENSG00000184672	3	0
ENSG00000101003	1	1
ENSG00000107862	2	1
ENSG00000053747	1	4
ENSG00000104529	0	0
ENSG00000256683	7	4
ENSG00000164465	1	0
ENSG00000160218	0	0
ENSG00000178502	0	0
ENSG00000161509	1	0
ENSG00000090432	4	1
ENSG00000120215	4	0
ENSG00000068489	1	0
ENSG00000256463	7	0
ENSG00000103194	0	4
ENSG00000105388	0	0
ENSG00000177692	1	0
ENSG00000187187	0	3
ENSG00000116574	0	1
ENSG00000160685	1	7
ENSG00000185640	4	0
ENSG00000136695	0	1
ENSG00000186103	0	0
ENSG00000154027	0	0
ENSG00000105701	0	0
ENSG00000005100	1	0
ENSG00000143127	1	0
ENSG00000057468	1	0
ENSG00000137575	2	0
ENSG00000165496	2	0
ENSG00000172023	0	2
ENSG00000077232	0	11
ENSG00000166321	0	4
ENSG00000051596	5	1
ENSG00000092847	2	0
ENSG00000167657	0	0
ENSG00000134900	1	0
ENSG00000177352	1	0
ENSG00000154743	0	0
ENSG00000198399	4	2
ENSG00000136100	3	0
ENSG00000138821	0	1
ENSG00000157500	1	3
ENSG00000117222	5	1
ENSG00000229086	1	1
ENSG00000168743	0	1
ENSG00000090554	0	1
ENSG00000140854	2	0
ENSG00000221852	0	1
ENSG00000090686	1	1
ENSG00000120160	0	0
ENSG00000239605	4	2
ENSG00000115325	0	0
ENSG00000106013	1	3
ENSG00000006606	2	4
ENSG00000148735	1	2
ENSG00000125454	2	1
ENSG00000003393	2	2
ENSG00000116455	0	7
ENSG00000178187	1	0
ENSG00000081320	1	1
ENSG00000213246	2	2
ENSG00000112304	0	0
ENSG00000076356	0	1
ENSG00000177302	0	0
ENSG00000122642	0	3
ENSG00000139344	4	2
ENSG00000173335	0	1
ENSG00000135047	3	0
ENSG00000130751	0	2
ENSG00000120913	1	0
ENSG00000148386	0	0
ENSG00000211460	3	0
ENSG00000115355	0	0
ENSG00000196407	1	0
ENSG00000110435	2	3
ENSG00000113205	4	1
ENSG00000140320	0	0
ENSG00000156463	0	4
ENSG00000161618	0	0
ENSG00000131849	0	2
ENSG00000163586	0	0
ENSG00000120437	0	0
ENSG00000163166	1	0
ENSG00000012963	1	0
ENSG00000138587	1	1
ENSG00000075826	0	12
ENSG00000100014	0	0
ENSG00000133627	1	2
ENSG00000140471	0	1
ENSG00000173218	1	11
ENSG00000197889	1	0
ENSG00000186051	0	0
ENSG00000072310	3	0
ENSG00000198598	0	0
ENSG00000102893	2	0
ENSG00000155890	3	2
ENSG00000150394	3	0
ENSG00000185862	0	3
ENSG00000153822	1	1
ENSG00000174501	0	4
ENSG00000143278	1	0
ENSG00000260230	0	0
ENSG00000203724	12	0
ENSG00000110400	1	0
ENSG00000125814	2	0
ENSG00000134748	0	2
ENSG00000157653	0	0
ENSG00000099795	2	2
ENSG00000258231	0	0
ENSG00000170464	1	0
ENSG00000122481	1	0
ENSG00000106302	0	1
ENSG00000166800	4	0
ENSG00000153015	0	3
ENSG00000148377	0	0
ENSG00000187815	2	0
ENSG00000107338	0	5
ENSG00000162813	1	0
ENSG00000023572	3	11
ENSG00000162728	0	1
ENSG00000124467	0	0
ENSG00000164122	4	0
ENSG00000126215	0	8
ENSG00000005194	1	1
ENSG00000160959	0	2
