gene	gene_id	transcript	oe_lof_upper	obs_lof	exp_lof	mu_lof	cds_length	canonical	chr.hg38	gene_start	gene_end	transcript_start	transcript_end	gene_length	transcript_length	ccr_length
GRIN2B	ENSG00000273079	ENST00000609686	0.061	0	48.946	4.35567e-06	4452	1	12	13437942	13982002	13537337	13981602	544061	444266	4452
RBAK-RBAKDN	ENSG00000272968	ENST00000396904	0.797	1	5.9484	4.2355725e-07	339	1	7	4983718	5073221	5045911	5073221	89504	27311	478
DOC2B	ENSG00000272636	ENST00000343572	1.065	4	8.5904	6.09901e-07	924	1	17	142789	181650	156019	162172	38862	6154	377
C6ORF165	ENSG00000272514	ENST00000369562	1.139	25	30.644	2.7403e-06	1866	1	6	87407972	87464465	87407972	87464465	56494	56494	0
GTF2H5	ENSG00000272047	ENST00000607778	1.714	2	3.0938	3.59455e-07	213	1	6	158168350	158199344	158168350	158199344	30995	30995	210
SRXN1	ENSG00000271303	ENST00000381962	1.491	2	4.0116	4.30676e-07	411	1	20	646615	653200	646615	653200	6586	6586	303
CH17-132F21.1	ENSG00000270999	ENST00000603238	1.958	3	1.0896	7.765635e-08	347	1	2	90315366	90315836	90315366	90315836	471	471	0
RPS10-NUDT3	ENSG00000270800	ENST00000605528	0.343	2	18.349	1.7575775e-06	859	1	6	34284887	34426071	34288850	34425148	141185	136299	704
EGLN2	ENSG00000269858	ENST00000303961	0.447	3	17.327	1.64057875e-06	1221	1	19	40798996	40808434	40799191	40808434	9439	9244	1313
SPIB	ENSG00000269404	ENST00000270632	0.344	0	8.6921	8.7456775e-07	531	0	19	50418938	50431314	50418958	50428989	12377	10032	842
FBXO17	ENSG00000269190	ENST00000292852	1.771	17	13.934	1.11488e-06	834	1	19	38941401	38975742	38941401	38975742	34342	34342	774
ZNF728	ENSG00000269067	ENST00000594710	1.773	5	5.255	3.75401e-07	1866	1	19	22974883	23003176	22974883	23003176	28294	28294	0
CALR3	ENSG00000269058	ENST00000269881	1.14	17	22.361	1.9548925e-06	1152	1	19	16479061	16496167	16479061	16496167	17107	17107	1145
SMIM17	ENSG00000268182	ENST00000598409	1.62	3	4.4483	3.2037725e-07	354	1	19	56643159	56657247	56643159	56657247	14089	14089	380
NDUFA7	ENSG00000267855	ENST00000301457	1.835	6	5.4912	3.90409e-07	339	1	19	8308768	8321375	8311284	8321375	12608	10092	330
ZNF224	ENSG00000267680	ENST00000336976	1.671	4	5.0737	4.7075875e-07	2121	1	19	44094361	44109886	44094392	44109886	15526	15495	2117
CGB1	ENSG00000267631	ENST00000301407	1.793	2	2.6673	1.8821975e-07	465	1	19	49035569	49036895	49035569	49036895	1327	1327	0
RP5-1052I5.2	ENSG00000267561	ENST00000370548	0.635	5	16.552	1.6118525e-06	909	1	1	86993009	87169204	86993009	87169204	176196	176196	0
LCN6	ENSG00000267206	ENST00000341206	1.467	8	9.7705	8.3889025e-07	489	1	9	136744017	136748525	136744017	136748525	4509	4509	492
ZNF850	ENSG00000267041	ENST00000589390	0.765	0	3.9044	2.97681e-07	252	0	19	36714383	36772825	36714383	36772825	58443	58443	2855
STRADA	ENSG00000266173	ENST00000245865	0.703	4	13.027	2.5280775e-06	702	0	17	63682336	63741986	63702835	63741761	59651	38927	1387
C18orf64	ENSG00000265944	ENST00000584361	0.915	3	8.4701	7.277875e-07	405	1	18	6413730	6590653	6511416	6590653	176924	79238	361
MYH4	ENSG00000264424	ENST00000255381	1.041	92	105.06	9.7737925e-06	5817	1	17	10443290	10469559	10443290	10469559	26270	26270	5803
