gene	oe_lof_upper	obs_lof	exp_lof	mu_lof	total.ptv.count	total.dn.count	total.inh.count	ccr.ptv.count	ccr.dn.count	ccr.inh.count
ENSG00000162694	1.031	8	13.998	1.451756e-06	1	0	1	0	0	0
ENSG00000170989	0.547	1	8.6801	9.121715e-07	1	0	1	0	0	0
ENSG00000188157	0.435	29	90.87	8.3761725e-06	1	0	1	0	0	0
ENSG00000160049	1.144	6	10.348	8.83194e-07	1	0	1	0	0	0
ENSG00000121940	0.638	5	16.487	2.2269125e-06	1	0	1	0	0	0
ENSG00000197780	1.085	4	8.4282	9.56023e-07	1	0	1	1	0	1
ENSG00000221986	0.753	7	17.467	1.388843e-06	2	0	2	0	0	0
ENSG00000175262	1.041	21	29.038	2.6744725e-06	3	0	3	0	0	0
ENSG00000168765	1.618	12	11.853	8.631945e-07	2	0	2	0	0	0
ENSG00000134201	1.545	11	11.694	8.5296025e-07	1	0	1	0	0	0
ENSG00000134202	1.172	12	16.585	1.56630925e-06	1	0	1	0	0	0
ENSG00000198758	0.898	26	40.178	3.7846625e-06	2	0	2	0	0	0
ENSG00000186150	1.843	2	2.3172	1.6472285e-07	1	0	1	1	0	1
ENSG00000162775	0.276	4	33.205	4.3215e-06	1	0	1	0	0	0
ENSG00000168679	1.053	14	20.794	1.63890375e-06	1	0	1	0	0	0
ENSG00000171824	0.759	32	56.655	5.37742e-06	1	0	1	0	0	0
ENSG00000064703	1.041	25	33.538	2.3793375e-06	3	0	3	0	0	0
ENSG00000155367	1.05	17	24.282	2.4868725e-06	5	0	5	0	0	0
ENSG00000184599	1.753	9	8.4465	5.483615e-07	6	0	6	0	0	0
ENSG00000198799	0.906	35	51.212	4.681625e-06	3	1	2	0	0	0
ENSG00000081019	0.444	9	35.333	3.7488175e-06	1	0	1	0	0	0
ENSG00000134242	1.089	36	43.658	3.3277225e-06	1	0	1	0	0	0
ENSG00000134262	0.827	20	35.137	3.44849e-06	1	0	1	0	0	0
ENSG00000116774	1.25	13	16.533	1.74535e-06	1	0	1	1	0	1
ENSG00000197323	0.086	1	54.935	4.78447e-06	3	0	3	0	0	0
ENSG00000175984	0.723	27	51.494	4.916795e-06	1	0	1	0	0	0
ENSG00000204624	0.548	24	61.566	5.2583275e-06	2	0	2	0	0	0
ENSG00000173212	1.075	12	18.086	1.40426975e-06	1	0	1	0	0	0
ENSG00000162490	1.527	15	15.066	1.48775175e-06	1	0	1	0	0	0
ENSG00000134253	1.08	15	21.395	1.8771725e-06	3	0	3	0	0	0
ENSG00000215910	1.052	57	67.588	6.134185e-06	4	0	4	0	0	0
ENSG00000196505	0.9	18	29.642	3.1170075e-06	1	0	1	0	0	0
ENSG00000155761	0.626	60	118.81	9.79942e-06	1	0	1	1	0	1
ENSG00000116882	1.265	16	19.204	2.163765e-06	1	0	1	0	0	0
ENSG00000143067	0.891	6	13.298	1.17445975e-06	3	0	3	0	0	0
ENSG00000116691	1.737	27	21.178	2.0500325e-06	1	0	1	0	0	0
ENSG00000184163	1.64	11	10.895	7.749555e-07	6	0	6	0	0	0
ENSG00000116726	1.258	8	11.464	1.10920175e-06	3	0	3	0	0	0
ENSG00000179172	1.768	0	0.82389	5.7645125e-08	2	0	2	0	0	0
ENSG00000120952	1.81	13	10.722	7.90265e-07	6	0	6	0	0	0
ENSG00000162572	1.598	37	30.425	2.9940625e-06	4	0	4	0	0	0
ENSG00000243073	1.932	14	9.1359	6.53518e-07	9	0	9	0	0	0
ENSG00000187545	1.542	5	6.6432	4.72149e-07	5	0	5	0	0	0
ENSG00000204479	1.951	9	5.2869	3.726875e-07	2	0	2	0	0	0
ENSG00000162576	1.13	13	18.29	1.409144e-06	1	0	1	0	0	0
ENSG00000215915	1.174	15	19.669	1.648535e-06	4	1	3	0	0	0
ENSG00000117262	1.485	20	19.556	2.035125e-06	4	0	4	0	0	0
ENSG00000174827	1.714	13	11.727	1.109252e-06	1	0	1	0	0	0
ENSG00000198483	1.081	43	51.293	4.7511375e-06	7	0	7	5	0	5
ENSG00000143127	0.785	41	67.759	6.87487e-06	1	0	1	1	0	1
ENSG00000121851	1.261	8	11.438	1.13784425e-06	1	0	1	1	0	1
ENSG00000131781	1.448	22	21.687	1.8533875e-06	1	0	1	0	0	0
ENSG00000116128	0.381	9	41.193	4.1719225e-06	1	0	1	0	0	0
ENSG00000188092	1.24	7	10.593	1.2097855e-06	10	0	10	0	0	0
ENSG00000160072	1.477	32	29.105	2.745995e-06	2	0	2	0	0	0
ENSG00000184270	0.976	0	3.0217	2.1280875e-07	1	0	1	0	0	0
ENSG00000136631	0.746	15	30.964	3.482995e-06	1	0	1	0	0	0
ENSG00000143369	1.112	16	21.853	3.2195175e-06	2	0	2	0	0	0
ENSG00000143382	1.093	47	54.82	5.28496e-06	3	0	3	0	0	0
ENSG00000143452	0.357	3	21.715	1.76009e-06	1	0	1	0	0	0
ENSG00000143387	0.94	10	18.041	1.708165e-06	1	1	0	0	0	0
ENSG00000189337	0.381	8	37.873	3.3896975e-06	1	1	0	0	0	0
ENSG00000143412	1.433	25	24.353	2.4027875e-06	1	0	1	0	0	0
ENSG00000143409	1.185	16	20.504	2.5582275e-06	1	0	1	0	0	0
ENSG00000163141	1.283	13	16.105	2.098775e-06	1	0	1	0	0	0
ENSG00000143458	0.962	12	20.213	2.19492e-06	1	0	1	0	0	0
ENSG00000143434	0.621	16	39.146	3.8583625e-06	1	0	1	0	0	0
ENSG00000143416	1.294	25	26.986	2.348015e-06	1	0	1	0	0	0
ENSG00000143375	0.948	58	76.153	8.7654425e-06	3	0	3	1	0	1
ENSG00000215853	1.151	9	13.644	1.02357575e-06	1	0	1	0	0	0
ENSG00000197915	1.948	4	2.1501	1.52909075e-07	20	0	20	0	0	0
ENSG00000143631	1.96	4	1.6546	1.152869e-07	24	0	24	0	0	0
ENSG00000143520	1.919	2	1.4461	1.0043635e-07	3	0	3	0	0	0
ENSG00000185966	1.5	0	1.6325	1.16213175e-07	2	0	2	0	0	0
ENSG00000187173	1.838	3	3.1739	3.738265e-07	2	0	2	0	0	0
ENSG00000198854	1.766	10	9.069	6.6368525e-07	1	0	1	0	0	0
ENSG00000142621	0.788	45	73.211	6.8686725e-07	1	0	1	0	0	0
ENSG00000172155	1.913	3	2.2862	1.628569e-07	3	0	3	0	0	0
ENSG00000196734	1.843	2	2.3182	1.65846775e-07	1	0	1	0	0	0
ENSG00000186844	1.907	3	2.3985	1.70984e-07	1	0	1	0	0	0
ENSG00000163216	1.929	2	1.2546	9.1332725e-08	1	0	1	0	0	0
ENSG00000188643	1.89	4	3.3791	2.3595725e-07	2	0	2	0	0	0
ENSG00000143554	1.412	32	30.436	2.3344475e-06	12	1	11	0	0	0
ENSG00000143545	0.762	5	13.804	1.239165e-06	1	1	0	0	0	0
ENSG00000143515	0.407	17	62.676	5.3517925e-06	1	1	0	0	0	0
ENSG00000163239	0.921	11	19.769	1.64168425e-06	1	0	1	0	0	0
ENSG00000215704	1.112	11	16.371	1.341139e-06	4	0	4	0	0	0
ENSG00000143603	0.319	4	28.699	2.549015e-06	4	0	4	0	0	0
ENSG00000163346	1.031	6	11.485	2.6674375e-06	1	0	1	0	0	0
ENSG00000160688	0.592	8	24.363	2.1991075e-06	1	0	1	0	0	0
ENSG00000163463	1.462	6	8.0086	7.1288e-07	2	0	2	2	0	2
ENSG00000132906	0.974	11	18.693	1.58580625e-06	5	0	5	0	0	0
ENSG00000160767	0.821	10	20.665	2.756045e-06	1	0	1	0	0	0
ENSG00000116521	0.705	8	20.467	1.8594175e-06	1	0	1	0	0	0
ENSG00000163374	1.257	25	27.786	2.2299275e-06	4	0	4	0	0	0
ENSG00000116580	0.299	19	93.287	8.398785e-06	1	1	0	0	0	0
ENSG00000132698	1.554	11	11.617	1.38430375e-06	1	0	1	0	0	0
ENSG00000260238	1.454	10	11.62	1.16735775e-06	1	0	1	1	0	1
ENSG00000183856	0.848	67	96.829	9.4237175e-06	3	0	3	1	0	1
ENSG00000187862	0.957	16	25.381	2.2513675e-06	1	0	1	0	0	0
ENSG00000132692	0.621	17	41.079	3.65753e-06	1	0	1	1	0	1
ENSG00000143294	0.33	2	19.07	1.49699775e-06	1	0	1	1	0	1
ENSG00000027644	0.951	45	60.699	5.22734e-06	1	0	1	0	0	0
ENSG00000187800	0.888	40	58.655	5.0690525e-06	2	0	2	1	0	1
ENSG00000253831	1.416	12	13.708	1.434202e-06	1	0	1	0	0	0
ENSG00000163518	0.942	19	29.604	2.70345e-06	4	0	4	0	0	0
ENSG00000160856	1.279	32	33.594	2.8882025e-06	3	0	3	0	0	0
