gene	oe_lof_upper	obs_lof	exp_lof	mu_lof	total.ptv.count	total.dn.count	total.inh.count	ccr.ptv.count	ccr.dn.count	ccr.inh.count
ENSG00000156875	0.32	4	28.646	2.6235525e-06	1	0	1	0	0	0
ENSG00000122477	0.87	9	18.054	1.7532225e-06	9	0	9	1	0	1
ENSG00000170989	0.547	1	8.6801	9.121715e-07	1	0	1	0	0	0
ENSG00000060718	0.221	17	115.44	1.0025545e-05	1	0	1	1	0	1
ENSG00000185946	0.743	10	22.829	1.9203875e-06	1	0	1	1	0	1
ENSG00000240038	1.723	39	29.415	3.0309125e-06	3	0	3	0	0	0
ENSG00000243480	1.678	16	14.268	1.402913e-06	1	0	1	0	0	0
ENSG00000237763	1.839	5	4.7095	6.0110725e-07	6	0	6	0	0	0
ENSG00000175279	1.595	7	8.0445	7.17637e-07	3	1	2	0	0	0
ENSG00000188157	0.435	29	90.87	8.3761725e-06	9	1	8	2	0	2
ENSG00000160049	1.144	6	10.348	8.83194e-07	4	0	4	0	0	0
ENSG00000130940	0.152	4	60.297	4.9045675e-06	1	0	1	0	0	0
ENSG00000162636	0.773	9	20.328	1.7291025e-06	4	0	4	0	0	0
ENSG00000116266	0.593	14	36.886	3.2811575e-06	1	0	1	0	0	0
ENSG00000121957	0.864	22	36.376	3.63006e-06	4	1	3	0	0	0
ENSG00000121940	0.638	5	16.487	2.2269125e-06	1	0	1	0	0	0
ENSG00000116299	0.724	29	54.599	4.683635e-06	2	1	1	0	0	0
ENSG00000134222	1.295	14	16.898	2.2496925e-06	1	0	1	0	0	0
ENSG00000221986	0.753	7	17.467	1.388843e-06	1	0	1	0	0	0
ENSG00000175262	1.041	21	29.038	2.6744725e-06	15	0	15	0	0	0
ENSG00000174151	1.318	3	5.8186	7.63867e-07	1	0	1	0	0	0
ENSG00000065135	0.611	6	19.391	1.80565e-06	1	0	1	0	0	0
ENSG00000134183	0.981	11	18.551	1.9766675e-06	1	0	1	1	0	1
ENSG00000116337	0.638	18	41.849	3.5903625e-06	2	0	2	1	0	1
ENSG00000213366	1.392	11	13.057	9.3017775e-07	3	0	3	0	0	0
ENSG00000134184	1.013	6	11.695	8.2247525e-07	9	0	9	0	0	0
ENSG00000134201	1.545	11	11.694	8.5296025e-07	9	0	9	1	0	1
ENSG00000134202	1.172	12	16.585	1.56630925e-06	2	0	2	0	0	0
ENSG00000198758	0.898	26	40.178	3.7846625e-06	6	0	6	0	0	0
ENSG00000186150	1.843	2	2.3172	1.6472285e-07	3	0	3	1	0	1
ENSG00000162775	0.276	4	33.205	4.3215e-06	1	1	0	0	0	0
ENSG00000168679	1.053	14	20.794	1.63890375e-06	11	0	11	0	0	0
ENSG00000009724	1.146	24	29.462	2.3438275e-06	1	0	1	1	0	1
ENSG00000143105	1.224	6	9.6612	6.9778825e-07	1	0	1	0	0	0
ENSG00000177272	0.392	2	16.069	1.6149345e-06	2	0	2	0	0	0
ENSG00000121931	0.68	10	24.947	2.134955e-06	1	0	1	0	0	0
ENSG00000171824	0.759	32	56.655	5.37742e-06	1	1	0	0	0	0
ENSG00000064886	1.545	21	19.531	1.4770485e-06	1	0	1	0	0	0
ENSG00000134216	1.237	22	25.396	1.9820275e-06	19	0	19	0	0	0
ENSG00000173947	1.672	9	9.1007	9.0729725e-07	3	0	3	0	0	0
ENSG00000085465	0.723	9	21.718	1.6835425e-06	2	0	2	0	0	0
ENSG00000116455	0.824	9	19.052	1.50443475e-06	7	0	7	4	0	4
ENSG00000197852	0.968	5	10.861	1.17389025e-06	1	0	1	0	0	0
ENSG00000064703	1.041	25	33.538	2.3793375e-06	1	0	1	0	0	0
ENSG00000143079	0.685	8	21.071	1.901795e-06	1	0	1	1	0	1
ENSG00000155363	0.343	10	49.505	4.566385e-06	1	0	1	1	0	1
ENSG00000155366	0.517	1	9.174	9.01686e-07	1	0	1	1	0	1
ENSG00000155367	1.05	17	24.282	2.4868725e-06	12	0	12	0	0	0
ENSG00000184599	1.753	9	8.4465	5.483615e-07	12	0	12	0	0	0
ENSG00000198799	0.906	35	51.212	4.681625e-06	3	0	3	0	0	0
ENSG00000081026	0.387	16	62.786	5.5990225e-06	2	0	2	0	0	0
ENSG00000116793	1.189	34	38.056	4.1853225e-06	2	0	2	0	0	0
ENSG00000081019	0.444	9	35.333	3.7488175e-06	9	0	9	0	0	0
ENSG00000134242	1.089	36	43.658	3.3277225e-06	6	0	6	0	0	0
ENSG00000134262	0.827	20	35.137	3.44849e-06	3	0	3	0	0	0
ENSG00000116774	1.25	13	16.533	1.74535e-06	1	0	1	1	0	1
ENSG00000197323	0.086	1	54.935	4.78447e-06	5	1	4	0	0	0
ENSG00000175984	0.723	27	51.494	4.916795e-06	2	0	2	0	0	0
ENSG00000198765	0.22	7	59.879	4.6466175e-06	4	0	4	0	0	0
ENSG00000204624	0.548	24	61.566	5.2583275e-06	1	0	1	0	0	0
ENSG00000173218	0.596	7	22.051	2.0167e-06	12	1	11	0	0	0
ENSG00000163393	0.944	18	28.272	2.4031225e-06	1	0	1	0	0	0
ENSG00000173212	1.075	12	18.086	1.40426975e-06	3	0	3	0	0	0
ENSG00000143061	0.368	13	56.141	5.3367175e-06	2	1	1	0	0	0
ENSG00000116824	0.624	2	10.084	7.0388525e-07	2	0	2	0	0	0
